id,age,height,TVCM,SNS,sports,history,purchase
94,24,173,,1,1,0,1
95,39,139,1,1,0,0,1
96,24,175,1,1,1,0,1
97,20,159,0,1,1,0,0
98,30,180,0,1,1,1,1
99,45,176,1,1,1,0,1
100,39,153,1,1,0,0,1
101,29,171,0,1,1,0,0
102,25,174,0,0,0,0,0
103,31,150,0,0,1,0,0
104,26,165,0,,1,0,0
105,29,174,1,0,1,0,1
106,30,163,1,1,1,0,1
107,38,180,0,1,1,0,0
108,48,182,0,1,1,0,0
109,54,,0,1,1,1,1
110,57,177,1,0,0,0,0
111,25,165,1,0,0,0,0
112,22,162,1,1,0,0,1
113,36,176,0,1,1,0,0
114,50,188,1,1,1,,1
115,31,139,0,1,1,0,0
116,28,155,,1,1,0,1
117,41,183,0,1,0,0,0
118,35,174,1,1,1,0,1
119,25,188,1,1,0,1,1
120,42,159,0,1,1,0,0
121,28,148,1,1,1,0,1
122,46,147,0,1,1,0,0
123,38,180,,1,0,0,1
124,50,156,0,1,0,0,0
125,30,144,0,0,1,0,0
126,19,151,0,0,1,0,0
127,48,157,0,1,0,0,0
128,59,178,0,0,1,0,0
129,42,163,1,0,1,0,1
130,36,176,1,,1,0,1
131,51,178,1,,1,0,1
132,20,186,1,1,0,0,0
133,46,171,0,1,0,0,0
134,57,157,1,0,,0,0
135,52,196,1,1,0,0,1
136,28,166,0,1,1,,1
137,50,177,0,1,0,0,0
138,59,167,0,0,1,0,0
139,,166,0,0,0,0,0
140,40,144,,1,1,0,0
141,24,181,0,1,1,,1
142,20,181,1,1,0,0,0
143,25,166,1,1,0,0,1
144,57,170,1,0,1,1,1
145,33,154,1,1,0,0,1
146,23,165,0,1,,0,0
147,35,149,0,1,1,0,0
148,38,163,1,1,0,0,1
149,,179,0,1,1,0,0
150,55,143,1,1,1,,1
151,31,147,1,0,0,0,0
152,51,142,0,1,0,0,0
153,38,143,0,1,1,0,0
154,28,157,1,1,0,0,1
155,50,179,0,0,0,0,0
156,43,147,1,1,0,1,1
157,39,166,0,1,1,0,0
158,57,159,0,1,0,0,0
159,50,176,1,0,1,1,1
160,37,159,1,0,0,0,0
161,43,157,0,1,0,0,0
162,32,153,1,1,1,0,1
163,31,170,1,0,1,0,1
164,,146,1,1,0,0,1
165,24,,1,1,0,0,1
166,31,139,0,1,1,0,0
167,33,149,1,1,1,0,1
168,,193,0,1,1,0,0
169,27,,1,1,1,0,1
170,20,166,1,1,0,0,0
171,25,197,0,1,1,0,0
172,23,157,1,0,0,0,0
173,54,173,1,1,1,1,1
174,55,157,1,0,0,0,0
175,39,179,0,1,0,0,0
176,58,171,0,0,0,0,0
177,31,127,1,1,1,0,1
178,45,184,1,0,0,0,0
179,31,153,,1,1,0,1
180,,181,1,0,1,0,1
181,32,183,1,0,1,0,1
182,41,157,1,1,0,0,1
183,34,155,1,0,0,0,0
184,46,178,1,1,0,0,1
185,21,168,0,1,1,1,1
186,20,157,0,1,0,0,0
187,32,153,0,1,1,0,1
188,18,144,0,1,0,0,0
189,47,137,0,1,1,0,0
190,29,,,0,1,0,0
191,53,149,1,1,0,0,0
192,47,152,1,1,0,1,1
193,51,137,0,1,0,,0
194,20,179,0,1,0,,1
195,38,180,0,1,0,0,0
196,37,196,1,1,0,1,1
197,50,162,0,0,1,0,0
198,46,162,1,1,0,0,1
199,36,162,0,1,0,0,0
200,49,166,0,1,,0,0
201,46,127,0,1,1,0,0
202,48,175,,1,,0,0
203,28,155,1,1,0,0,0
204,26,168,0,0,0,0,0
205,53,141,0,1,1,0,0
206,50,152,0,1,0,0,0
207,26,167,0,1,1,,0
208,38,152,1,0,0,0,0
209,31,169,0,1,1,0,0
210,33,147,0,1,1,0,0
211,59,150,0,0,1,1,1
212,18,176,1,1,1,0,1
213,37,161,0,1,0,0,0
214,42,166,0,1,0,1,1
215,38,,0,1,0,0,0
216,33,168,1,0,0,0,0
217,48,158,0,1,0,0,0
218,45,159,1,1,0,0,1
219,32,163,0,1,,0,0
220,37,185,0,1,0,0,0
221,44,170,1,1,1,,1
222,40,,1,1,0,1,1
223,25,157,0,,0,0,0
224,53,196,1,1,1,0,1
225,52,136,1,1,1,0,1
226,54,183,0,1,1,0,0
227,54,158,1,1,1,1,1
228,50,150,0,1,1,,0
229,37,158,0,0,1,0,0
230,21,176,0,1,1,0,0
231,42,183,0,1,1,0,0
232,,169,0,0,0,,0
233,55,159,1,0,0,0,0
234,48,156,0,0,0,1,1
235,56,149,1,0,1,0,1
236,57,172,0,1,0,0,0
237,23,192,1,0,1,0,1
238,33,133,0,0,1,,0
239,41,151,0,0,0,0,0
240,50,176,1,1,1,0,1
241,28,159,0,1,1,,0
242,20,152,0,1,0,0,0
243,42,167,0,0,0,0,0
244,52,167,0,0,1,0,0
245,48,183,1,,0,0,0
246,35,169,0,1,0,1,1
247,22,171,0,1,0,0,0
248,18,182,0,1,0,0,0
249,32,,1,1,1,0,1
250,35,157,0,0,1,0,0
251,57,140,1,1,0,0,1
252,53,159,1,1,0,0,1
253,35,167,1,1,0,0,0
254,46,151,0,1,0,0,0
255,40,187,1,,1,0,1
256,56,160,1,0,0,0,0
257,59,152,0,1,0,0,0
258,28,182,,1,0,0,0
259,,189,0,1,1,0,0
260,24,165,0,0,1,0,0
261,43,167,0,1,0,0,0
262,56,166,1,0,0,0,0
263,,188,1,0,1,0,1
264,18,157,0,1,1,0,0
265,40,173,1,1,1,1,1
266,34,160,0,1,1,0,0
267,37,,0,0,1,0,0
268,27,167,1,0,1,0,1
269,46,162,1,1,1,0,1
270,28,166,0,1,0,0,0
271,,153,,0,1,0,0
272,41,182,,0,0,0,0
273,32,138,0,0,0,0,0
274,39,177,1,0,1,0,1
275,21,172,1,1,0,1,1
276,42,,0,1,1,0,0
277,34,178,0,1,0,0,0
278,33,,1,1,0,0,1
279,25,180,,1,1,,1
280,32,173,1,1,0,0,1
281,31,171,0,1,,0,0
282,33,172,1,1,0,0,1
283,43,169,0,0,1,0,0
284,38,171,0,1,,0,0
285,39,147,0,1,0,,0
286,47,179,0,1,0,0,0
287,55,174,0,1,0,0,0
288,40,170,0,1,1,0,0
289,45,179,0,,0,0,0
290,30,190,1,0,1,0,1
291,30,161,0,1,,0,0
292,44,190,0,0,1,0,0
293,30,156,1,1,1,0,1
294,25,174,0,1,0,0,0
295,41,,0,1,1,,0
296,57,134,0,1,1,0,0
297,30,182,0,1,,0,0
298,56,155,1,1,,0,1
299,,155,0,1,,0,0
300,23,171,0,1,1,0,0
301,52,187,1,0,1,0,1
302,51,,1,1,0,,1
303,,170,1,1,1,0,1
304,23,174,1,1,,0,1
305,27,141,1,1,0,1,1
306,43,150,0,1,0,0,0
307,45,194,0,1,1,0,0
308,19,167,1,1,1,0,1
309,36,156,0,0,1,0,0
310,48,145,0,0,1,0,0
311,50,179,1,0,1,0,1
312,44,146,1,1,0,0,1
313,38,160,1,1,1,0,1
314,48,161,1,0,0,0,0
315,57,188,1,0,0,0,0
316,18,185,0,1,0,0,0
317,,153,,0,1,0,0
318,52,139,0,1,1,0,0
319,21,171,1,1,0,0,0
320,24,150,1,0,0,0,0
321,30,190,0,1,1,,1
322,57,149,,1,0,0,0
323,56,163,1,0,0,0,0
324,37,150,1,1,0,0,0
325,24,194,1,1,0,1,1
326,31,165,1,1,0,0,1
327,54,158,1,1,1,,1
328,41,162,0,1,0,0,0
329,40,162,0,0,0,1,1
330,20,141,0,1,0,0,0
331,46,171,,,1,0,1
332,49,142,1,1,1,0,1
333,27,160,0,0,0,0,0
334,59,162,1,1,1,0,1
335,42,176,0,1,1,0,1
336,47,176,0,1,0,0,0
337,30,,1,0,1,0,1
338,36,161,1,1,,0,1
339,29,172,0,1,1,0,0
340,59,169,0,0,0,0,0
341,54,173,1,1,0,0,1
342,34,159,1,1,1,0,1
343,48,191,1,,1,0,1
344,38,191,0,1,0,0,0
345,53,162,0,1,,,0
346,59,161,1,1,0,0,1
347,35,181,0,0,0,0,0
348,20,159,0,1,0,0,0
349,39,176,,1,1,,1
350,47,146,0,1,0,0,0
351,54,179,0,1,0,0,0
352,34,173,0,1,1,0,0
353,45,183,0,1,0,0,0
354,26,177,0,1,1,0,0
355,46,167,1,1,0,1,1
356,20,156,0,1,1,,0
357,53,170,0,1,1,0,0
358,31,163,0,1,0,0,0
359,59,134,1,0,0,0,0
360,54,156,0,1,0,0,0
361,54,154,0,1,1,0,0
362,,166,0,1,0,0,0
363,36,181,1,1,0,0,1
364,51,,0,1,1,0,0
365,56,157,0,0,0,0,0
366,58,180,1,0,0,0,0
367,43,163,1,1,1,0,1
368,57,189,1,1,,0,1
369,55,161,1,1,0,0,1
370,20,179,0,1,1,1,1
371,52,159,0,0,1,1,1
372,46,189,1,0,0,0,1
373,32,170,1,0,0,0,0
374,29,153,0,1,0,0,0
375,44,149,0,,0,0,0
376,58,155,1,1,1,0,1
377,39,178,0,1,0,0,0
378,34,179,1,1,1,,1
379,46,159,0,1,1,0,0
380,55,148,0,1,0,,0
381,59,178,1,0,1,0,1
382,58,176,1,0,0,0,0
383,29,193,1,1,1,0,1
384,40,191,1,1,0,0,1
385,24,174,1,0,1,1,1
386,50,165,1,1,0,0,1
387,32,195,0,1,0,0,0
388,,151,0,1,,0,0
389,41,185,0,1,0,0,0
390,29,170,1,0,1,1,1
391,53,173,1,0,1,0,1
392,50,157,1,0,0,0,0
393,45,176,1,1,1,1,1
394,56,177,1,1,0,0,1
395,18,180,0,1,1,1,1
396,40,169,1,1,0,0,1
397,,162,0,1,1,0,0
398,24,151,,1,1,0,0
399,54,182,0,0,1,0,0
400,36,156,0,0,1,0,0
401,45,,0,0,1,1,1
402,46,175,0,1,1,0,0
403,55,164,0,1,1,0,0
404,56,154,0,0,0,0,0
405,48,162,1,1,1,0,1
406,25,154,1,0,0,0,0
407,39,213,,1,0,0,0
408,34,178,0,1,0,0,0
409,57,150,1,1,1,,1
410,,163,1,1,1,0,1
411,29,154,0,1,1,0,1
412,32,163,1,1,1,0,1
413,58,155,1,1,0,0,0
414,48,164,1,,,0,1
415,26,148,1,,1,0,1
416,58,165,1,1,1,1,1
417,48,,1,1,0,0,1
418,41,162,0,1,1,0,1
419,20,176,1,1,0,0,1
420,46,177,1,1,1,0,1
421,18,170,1,0,0,0,0
422,57,155,1,1,0,1,1
423,30,169,0,1,1,0,0
424,35,138,0,0,0,0,0
425,51,157,1,1,0,0,0
426,28,151,0,1,1,0,0
427,46,186,0,0,1,0,0
428,59,167,1,1,0,0,1
429,29,161,,,1,0,0
430,23,169,0,1,0,0,0
431,35,151,1,1,1,0,1
432,23,184,1,1,,0,1
433,40,158,0,1,1,0,0
434,32,172,1,0,0,0,0
435,41,152,1,0,0,,0
436,,151,1,1,1,0,1
437,28,159,,1,0,0,0
438,26,189,1,1,0,1,1
439,37,179,1,1,1,1,1
440,30,168,1,1,0,0,1
441,43,164,1,1,1,,1
442,31,161,1,1,1,0,1
443,34,187,1,1,1,0,1
444,22,162,1,1,0,0,1
445,42,178,1,1,0,0,1
446,45,173,1,1,,1,1
447,22,163,1,0,1,0,1
448,21,180,1,1,1,0,1
449,30,169,1,1,0,0,1
450,20,,0,1,1,0,0
451,,178,0,0,1,0,0
452,50,183,0,1,,0,1
453,50,167,0,1,1,0,0
454,33,171,1,0,1,0,1
455,54,169,0,1,1,0,0
456,28,156,0,0,0,0,0
457,30,,1,1,0,0,1
458,36,175,1,1,0,0,1
459,48,162,1,0,0,0,0
460,23,195,0,1,0,0,0
461,34,162,1,1,,0,1
462,49,,1,1,1,0,1
463,50,135,1,1,1,0,1
464,49,171,0,1,1,0,0
465,,169,1,1,0,0,1
466,42,164,1,1,1,,1
467,33,,1,1,,0,1
468,39,164,1,1,1,0,1
469,37,161,0,1,1,0,0
470,31,160,0,1,0,0,0
471,51,194,1,1,1,0,1
472,22,128,1,1,0,0,1
473,57,165,1,0,0,0,0
474,21,154,0,1,0,0,0
475,52,156,1,1,1,1,1
476,52,175,0,1,1,0,0
477,32,169,0,1,0,0,0
478,36,166,0,1,1,0,0
479,56,165,0,0,0,0,0
480,56,156,0,0,1,0,0
481,35,197,1,1,0,,0
482,23,151,,1,0,0,0
483,56,163,1,1,1,0,1
484,45,152,0,1,1,0,0
485,26,178,,1,0,0,0
486,58,167,0,1,1,0,1
487,23,176,,0,1,0,1
488,23,136,0,1,0,,0
489,25,189,0,1,1,0,0
490,32,138,0,1,1,0,0
491,55,160,,0,0,0,0
492,,156,1,0,0,0,0
493,32,158,1,0,0,0,0
494,51,157,1,1,1,0,1
495,,167,0,0,1,0,0
496,31,129,0,1,1,0,0
497,48,148,1,1,1,0,1
498,27,160,1,1,1,0,1
499,21,170,0,1,0,0,0
500,21,175,0,1,0,0,0
501,21,164,0,0,1,0,0
502,51,186,0,1,1,0,0
503,53,153,0,1,0,0,0
504,34,164,1,0,0,1,1
505,46,172,1,1,0,0,0
506,55,152,1,0,0,0,0
507,18,155,1,1,1,0,1
508,,,1,0,1,0,1
509,47,174,1,1,1,0,1
510,36,177,1,1,0,0,1
511,32,163,1,1,1,0,1
512,57,123,1,0,,0,0
513,,,0,1,1,0,0
514,46,170,0,0,1,0,0
515,28,170,0,0,1,0,0
516,50,170,0,0,0,0,0
517,47,165,1,0,1,0,1
518,36,155,1,1,0,0,0
519,54,176,1,1,1,1,1
520,47,152,0,1,1,0,0
521,57,,1,1,1,1,1
522,46,169,1,1,0,0,0
523,47,160,0,,0,0,0
524,57,167,0,1,1,0,0
525,44,154,1,1,0,0,1
526,,164,,1,1,0,1
527,30,181,0,1,1,0,0
528,35,163,0,1,0,0,0
529,25,197,,1,1,0,1
530,45,185,,0,1,0,0
531,25,167,1,1,1,0,1
532,37,191,0,1,1,0,0
533,50,169,0,1,0,0,0
534,30,174,1,1,1,0,1
535,56,151,0,0,1,0,0
536,50,170,0,1,1,0,0
537,48,172,0,1,,0,0
538,40,147,0,1,1,0,1
539,23,159,1,1,1,0,1
540,45,150,0,0,0,1,1
541,49,160,0,1,0,1,1
542,59,152,0,1,0,0,0
543,40,140,1,1,1,0,1
544,30,166,0,1,1,0,0
545,40,160,1,1,0,1,1
546,56,,1,0,,0,1
547,36,156,1,1,0,1,1
548,47,178,1,1,0,0,0
549,47,176,0,1,1,0,0
550,36,140,1,1,0,0,1
551,49,187,0,1,0,0,0
552,52,165,0,1,0,0,0
553,37,172,0,1,,0,0
554,47,188,1,1,1,0,1
555,40,142,0,0,1,0,0
556,33,173,0,,0,0,0
557,25,139,0,1,0,,0
558,46,159,1,1,0,,0
559,37,185,1,1,1,0,1
560,45,196,0,,0,0,0
561,,185,1,1,,0,1
562,33,195,0,1,1,0,0
563,24,176,0,0,0,0,0
564,42,161,1,1,1,0,1
565,40,189,0,1,0,0,0
566,29,182,1,1,0,0,0
567,55,,1,0,0,0,0
568,19,146,1,1,1,0,1
569,47,165,1,1,1,0,1
570,33,161,1,1,0,0,1
571,52,150,0,1,0,0,0
572,40,148,0,1,0,0,0
573,40,173,1,1,0,0,0
574,57,155,1,1,0,0,1
575,36,157,1,1,0,0,1
576,,172,0,0,1,0,0
577,34,173,1,1,1,0,1
578,35,155,1,1,1,1,1
579,42,151,0,1,0,0,0
580,56,159,0,1,1,1,1
581,18,164,1,1,1,0,1
582,51,156,0,1,1,0,0
583,,181,1,1,1,0,1
584,25,180,1,1,0,0,1
585,32,136,0,0,,0,0
586,54,142,1,0,0,0,0
587,44,174,0,0,0,0,0
588,50,186,1,1,0,0,0
589,19,171,0,1,1,0,1
590,42,169,0,0,1,,0
591,40,150,1,0,0,0,0
592,52,159,0,1,0,0,0
593,48,165,0,1,1,0,0
594,39,159,0,1,0,0,0
595,22,159,1,1,0,0,0
596,21,188,0,0,0,1,1
597,36,182,1,1,0,0,0
598,51,181,,1,1,0,0
599,29,160,1,0,1,0,1
600,29,163,1,1,0,0,1
601,30,166,1,0,1,0,1
602,22,161,1,0,1,0,1
603,18,163,0,1,0,0,0
604,43,181,0,1,0,0,0
605,58,,1,1,0,0,1
606,25,176,0,1,0,1,1
607,25,167,1,1,0,0,1
608,51,174,0,1,1,0,1
609,25,187,1,1,1,0,1
610,52,177,1,0,1,0,1
611,22,174,0,,1,0,0
612,23,166,1,1,0,0,1
613,57,175,1,0,1,1,1
614,30,181,0,1,0,0,0
615,50,180,1,0,1,0,1
616,39,155,0,1,1,0,0
617,46,149,0,1,0,1,1
618,25,197,0,,0,0,0
619,46,171,0,0,1,0,0
620,43,182,,1,1,0,1
621,59,188,1,0,,0,0
622,51,166,0,1,0,,0
623,19,167,0,0,1,0,0
624,31,159,0,1,0,0,0
625,56,179,1,0,0,0,0
626,39,151,1,0,1,0,1
627,45,153,1,1,1,0,1
628,56,183,0,0,1,0,0
629,38,185,1,0,1,0,1
630,51,185,1,1,0,0,1
631,19,,0,1,1,0,0
632,49,164,1,1,0,0,1
633,,180,1,0,0,,0
634,46,150,0,1,1,0,0
635,29,203,1,1,1,0,1
636,53,167,1,1,1,0,1
637,49,156,1,1,0,0,0
638,20,153,1,1,0,1,1
639,21,,1,1,0,0,0
640,50,156,0,1,0,0,0
641,28,180,0,1,0,0,0
642,50,159,1,1,1,0,1
643,51,179,1,1,0,0,1
644,23,,1,,1,0,1
645,18,179,1,,0,0,0
646,55,181,0,0,1,0,0
647,26,184,1,0,0,0,1
648,42,185,1,1,1,1,1
649,34,133,1,0,0,0,0
650,50,145,0,,0,0,0
651,50,176,1,,1,0,1
652,59,167,1,,0,0,1
653,,151,1,1,0,0,1
654,39,163,1,1,1,0,1
655,45,161,1,,0,0,1
656,53,164,0,1,0,1,1
657,22,170,1,1,0,0,0
658,50,188,0,0,0,0,0
659,42,156,0,1,1,0,0
660,56,170,0,0,0,0,0
661,43,155,0,1,1,0,0
662,50,,1,0,1,0,1
663,58,175,1,0,1,0,1
664,51,151,,1,1,0,0
665,24,180,1,,,0,0
666,19,164,1,1,1,0,1
667,49,182,,1,1,0,0
668,25,137,1,1,,0,1
669,31,174,0,,1,0,0
670,21,161,0,1,0,1,1
671,46,167,1,1,1,0,1
672,33,221,1,0,0,0,0
673,47,192,1,1,1,0,1
674,20,153,1,0,0,1,1
675,37,168,1,0,0,0,0
676,50,141,1,1,0,0,0
677,36,171,1,,0,0,1
678,58,179,1,0,1,0,1
679,52,152,0,0,1,0,0
680,48,165,1,1,,0,1
681,50,171,0,1,1,,1
682,37,138,1,1,0,0,1
683,59,193,0,0,1,0,0
684,38,158,0,,,0,0
685,,166,0,0,1,1,1
686,22,161,1,1,,0,1
687,27,159,0,1,0,1,1
688,18,176,0,1,1,0,1
689,,178,1,1,0,0,1
690,39,169,1,1,1,0,1
691,28,166,0,1,0,0,0
692,39,170,1,0,1,0,1
693,51,181,1,1,0,0,1
694,56,181,1,1,0,0,1
695,55,173,0,0,0,0,0
696,57,186,1,1,1,0,1
697,51,162,1,1,1,1,1
698,,169,1,1,0,0,1
699,59,190,1,1,0,0,1
700,25,,1,1,1,0,1
701,23,167,0,1,1,0,0
702,24,164,1,1,0,1,1
703,41,146,0,1,0,0,0
704,40,180,0,1,0,0,0
705,57,156,1,0,0,0,0
706,,161,0,0,0,1,1
707,55,161,1,0,1,0,1
708,56,181,1,1,0,0,0
709,41,158,0,,0,0,0
710,46,165,,0,0,0,0
711,54,173,1,1,0,,0
712,20,133,0,1,0,0,0
713,28,161,0,0,1,0,0
714,38,,1,1,0,0,1
715,18,168,0,0,1,,0
716,34,162,0,0,0,1,1
717,48,181,0,1,,0,0
718,21,146,0,0,0,0,0
719,32,173,1,0,1,0,1
720,23,153,1,1,1,0,1
721,28,170,1,1,1,1,1
722,45,135,1,1,,0,1
723,51,182,1,1,1,0,1
724,26,175,0,1,1,0,0
725,,162,1,1,0,0,1
726,57,179,1,0,0,0,0
727,50,162,1,0,1,1,1
728,51,184,1,1,0,,0
729,25,196,0,,1,0,0
730,51,150,1,1,0,0,1
731,32,167,1,0,0,0,0
732,31,169,0,1,0,1,1
733,39,152,1,0,1,0,1
734,54,187,0,0,0,0,0
735,30,187,1,1,1,1,1
736,44,152,0,0,0,1,1
737,36,137,1,1,0,0,0
738,55,149,1,1,,,1
739,53,162,1,1,1,0,1
740,30,156,1,1,0,1,1
741,59,154,1,0,0,,0
742,53,176,0,1,0,0,0
743,,180,1,1,1,0,1
744,55,166,0,0,0,0,0
745,19,175,0,0,1,0,0
746,59,165,1,1,1,0,1
747,18,182,1,1,1,0,1
748,33,164,1,1,1,0,1
749,46,115,1,1,1,0,1
750,,180,0,1,1,1,1
751,24,162,1,1,1,0,1
752,50,179,1,0,,0,1
753,44,183,0,1,1,0,0
754,38,172,1,1,1,0,1
755,56,170,1,0,0,0,0
756,19,145,0,1,0,0,0
757,34,160,1,1,0,0,1
758,43,174,0,0,1,0,0
759,37,171,1,1,,0,1
760,48,159,0,1,1,0,0
761,18,160,0,1,1,1,1
762,39,147,1,1,1,0,1
763,51,208,0,1,0,0,0
764,19,183,0,0,0,0,0
765,43,175,1,1,1,0,1
766,56,151,0,1,1,0,0
767,30,186,0,1,0,0,0
768,36,168,0,1,1,0,0
769,31,177,,1,0,1,1
770,31,163,0,,1,0,0
771,42,181,1,1,1,0,1
772,44,,0,1,0,0,0
773,37,188,1,1,0,1,1
774,57,194,1,0,0,1,1
775,52,154,1,1,0,0,0
776,33,181,1,,1,0,1
777,55,147,1,0,0,0,0
778,56,171,1,0,0,0,0
779,50,174,1,1,1,0,1
780,54,166,1,1,0,0,0
781,52,168,1,1,0,0,1
782,19,192,1,0,0,0,0
783,50,142,1,1,,0,0
784,48,179,1,1,0,0,1
785,55,161,1,0,0,0,0
786,25,149,0,0,1,0,0
787,50,189,0,1,1,0,0
788,59,178,1,0,,0,1
789,23,158,0,1,0,0,0
790,19,,0,1,0,0,0
791,51,157,0,1,1,0,0
792,48,182,1,1,0,0,1
793,36,174,,1,1,0,1
794,35,161,1,1,0,0,0
795,36,156,1,1,0,,1
796,49,183,0,1,1,0,0
797,25,132,1,1,0,0,1
798,39,158,0,1,0,0,0
799,36,172,0,1,0,0,0
800,45,,0,1,0,0,0
801,27,158,1,0,1,0,1
802,22,153,1,1,1,1,1
803,31,158,1,1,0,0,1
804,41,,0,0,1,0,0
805,49,149,0,,1,0,0
806,55,168,1,0,1,0,1
807,18,169,1,1,1,0,1
808,36,177,1,1,0,0,1
809,49,156,0,0,1,0,0
810,19,139,0,1,0,0,0
811,38,201,,1,,0,0
812,32,170,0,1,1,0,1
813,59,152,0,0,0,0,0
814,22,154,1,1,1,0,1
815,43,145,1,0,1,0,1
816,37,154,0,1,0,0,0
817,45,182,1,1,0,0,1
818,46,142,0,1,1,0,0
819,26,168,1,1,0,0,1
820,30,,1,1,1,0,1
821,29,180,0,1,0,0,0
822,26,136,0,1,1,0,0
823,28,174,0,1,0,0,0
824,41,160,0,1,,0,0
825,,165,0,1,1,0,0
826,43,161,0,1,1,0,0
827,36,154,0,0,1,0,0
828,36,183,1,1,0,0,1
829,23,154,1,1,1,0,1
830,39,193,0,0,0,1,1
831,27,153,1,1,1,0,1
832,31,164,1,1,1,0,1
833,36,,1,0,1,0,1
834,41,170,0,0,1,0,0
835,49,180,0,1,1,0,0
836,51,171,1,1,1,0,1
837,32,159,0,1,,0,0
838,58,158,1,0,,0,0
839,26,,1,0,,0,0
840,19,157,,1,1,0,0
841,40,175,0,0,1,0,0
842,20,177,1,1,0,0,1
843,40,181,1,1,1,0,1
844,19,164,1,0,0,0,0
845,26,178,,1,,0,0
846,25,188,0,,1,0,0
847,41,161,1,0,1,0,1
848,31,197,0,1,1,0,0
849,18,163,0,1,1,0,0
850,57,143,1,0,1,0,1
851,21,179,1,0,,0,0
852,28,143,1,1,0,0,0
853,52,158,0,1,1,0,0
854,51,133,1,1,1,0,1
855,29,146,1,1,1,0,1
856,20,172,0,1,0,0,0
857,28,167,1,1,0,0,1
858,45,170,0,1,1,0,0
859,23,,0,1,,0,0
860,44,158,0,1,1,0,0
861,21,165,0,1,,0,0
862,49,159,1,,1,0,1
863,29,172,0,1,0,1,1
864,21,167,0,1,0,1,1
865,19,171,0,1,0,0,0
866,31,172,1,0,1,1,1
867,35,172,1,1,,1,1
868,26,172,0,1,0,0,0
869,56,,0,,0,0,0
870,22,144,1,1,0,0,1
871,24,,,,0,0,1
872,30,161,0,0,1,0,0
873,27,151,1,0,0,0,0
874,23,161,1,1,1,0,1
875,33,154,1,1,0,0,0
876,38,151,1,1,1,0,1
877,49,,,1,1,1,1
878,44,177,0,1,0,0,0
879,25,148,0,0,0,0,0
880,,174,0,1,,0,0
881,50,164,0,1,,0,0
882,29,155,1,1,0,0,1
883,36,179,0,1,0,,0
884,18,180,0,0,0,0,0
885,55,137,1,1,1,0,1
886,27,199,,1,0,1,1
887,44,147,,0,1,0,0
888,38,177,1,1,1,0,1
889,33,154,0,1,0,0,0
