id,text,label
45,ジャズダンスのレッスンに週2回参加しています,0
46,日曜日は風呂を掃除する日だと決めている,1
47,久しぶりに運動すると、ダッシュができなくてちょっとショックだった,0
48,祖父と暮らし始めるのでバリアフリーな建物にリフォームしたい,1
49,いつも布団で寝ているから、ベッドで寝るのは少し怖い,1
50,中国は広くて文化も多様なので、何回行っても飽きない,2
51,ここから少し離れたところに、たくさんの動物と触れ合える動物園があるらしいから、行ってみない？,2
52,これまで色々な運動を試してきましたが、自転車が一番長続きしている,0
53,都内の事故物件を借りている,1
54,体育の授業で一番好きだったのはバスケットボールでした,0
55,上り坂が延々と続く山を登るよりは、上り坂と下り坂を繰り返しながら登れる山の方が疲労感が少なくて楽しく登れる,0
56,社員寮に住むのはやめておいてほうがいい,1
57,水族館でお土産としてオオグソクムシの等身大フィギュアを買った,2
58,高校の時は運動部に所属しており、毎朝体力作りのために走っていました,0
59,最近は体を動かしてテレビゲームが増えてきたので、楽しくエクササイズを続けられる環境が整ってきたなと感じます,0
60,ゴミ屋敷と化した家を頑張って掃除した,1
61,オンライン内見だけで賃貸を契約した,1
62,玄関のベルが壊れていたので、明日新しいのを買いにいく,1
63,短い距離しか泳げない,0
64,障子を張り替える,1
65,沖縄県のパワースポットを巡る,2
66,段ボールで作られたベッドを一度使ってみたい,1
67,昔は100kmを11秒台で走れたことがある,0
68,置き配ボックス設置してみた,1
69,野球の守備はまあまあできるのですが、バットに当てるのが苦手なので攻撃が上手くできない,0
70,海外旅行をしていたときにパスポートを紛失してしまった,2
71,逆上がりが苦手で、成功するのは10回に1回くらいです,0
72,出張前日にインフルエンザにかかってしまった,2
73,明治時代に建てられた古い洋館で暮らす,1
74,毎年夏になると友達と一緒に北海道の山を縦走しています,0
75,最高で1日で100キロ自転車で走ったことがある,0
76,今も野球は続けています,0
77,ホテル暮らしをしてみたい,1
78,非日常を体験するのが楽しくていろいろなところを旅してきた,2
79,希少な生物の写真を撮りたくて、冬の湿原を訪れる,2
80,西洋風の庭園で有名な観光地,2
81,運動不足を解消するために、意識して毎日歩くようにしている,0
82,大学生のとき、寮の友達と一緒にイギリスの心霊スポットを周ったことがあります,2
83,ケニアのサファリツアーでは忘れられない体験ができた,2
84,子供が生まれたのを期に新築の家を建てた,1
85,近くの川で泳いで遊ぶ,0
86,野球をやるなら左利きが有利だぞ,0
87,遺跡を訪れて、昔の人々の暮らしに思いを馳せる,2
88,次の旅行は東京に行こうかなあ,2
89,我が家は増築を重ねて原型を失った,1
90,アラスカで犬ぞり体験をする,2
91,重い家具を引きずったら床に傷がついちゃいました,1
92,パスポートのスタンプ欄が埋まっていくのを見るのが好きだったが、最近は廃止するところが多くなってきていて悲しい,2
93,昔よく行っていた動物園に久々に行ってみたら、もう廃墟になっていた,2
94,定年後はいろんなところを旅したいので、今からお金を貯めている,2
95,カーリングのストーンって投げるの結構難しいんだね,0
96,妻が二世帯住宅に大反対している,1
97,テクニックばかり上手くなっても、チームプレーができないと試合では勝てないよ,0
98,本がたくさんあるので、本を収納するための狭い部屋が欲しい,1
99,有名な水族館でジンベエザメのぬいぐるみを買いました,2
100,高校からダンスを始めた,0
101,3時からアシカのショーがあるので、それまでには水族館に着きたい,2
102,転勤先でマンスリーマンションを借りる,1
103,歩くときは姿勢を意識することが大切らしい,0
104,彼の選球眼は卓越している,0
105,きれいな海で有名な観光地,2
106,出張はそこまで嫌ではないが、報告書を書くのはあまり好きではない,2
107,暑いので市民プールで泳ぐ,0
108,近所のお兄さんにコツを教えてもらってから、水泳が得意になりました,0
109,夏休みに友達とセミを捕って遊ぶ,0
110,お正月にだらだらしていたら3キロも太っちゃったので、最近は頑張ってダイエットをしています,0
111,エジプトの世界遺産ツアーに参加する,2
112,小さい頃はフォワードとしてプレーしていて、サッカーの神童と呼ばれたこともありました,0
113,この神社は世界的に有名で、いつもたくさんの人でにぎわっている,2
114,彼の特徴は、守備的なポジションであればディフェンダーでもミッドフィルダーでもプレーができる選手であるというところです,0
115,いい天気なので屋根の上で布団を干す,1
116,洋服店の隣に住んでいる,1
117,私は、まだホームランを一度も打ったことがありません,0
118,ロフトは夏暑くて冬寒いのでいいことないよ,1
119,毎年夏になると、家族みんなで近くの農園に行って、いちご狩りを楽しんでいます,2
120,四畳半に二人暮らしをしていました,1
121,バチカン市国でたくさんの写真を撮った,2
122,田舎では三世帯住宅のところもよくあります,1
123,地震がきても大丈夫なように本棚を固定する,1
124,実家には和室があって、そこでよく昼寝をしていた,1
125,海の一望できる貸し切り露天風呂が有名な宿に泊まる,2
126,腕立て伏せ30回残り3本セット,0
127,妻はフラダンスを練習しに出かけています,0
128,昔通っていた大学の周りを散策する,2
129,自宅が遠いと通勤にも一苦労だ,1
130,化石がよく出ると噂のスポットで三葉虫の化石を発掘する,2
131,今年の夏休みには北海道を自転車で一周する予定で、今は体力づくりをしているところです,0
132,オリンピックで水球を見てやってみたくなったけど、あいにく近所に水球チームがないようです,0
133,就職して運動をやめてから太ってしまったので、最近ダイエットを始めた,0
134,趣味は海外旅行です,2
135,引っ越しをするときは、南向きの部屋かどうかが最低条件です,1
136,駅近物件を借りたい,1
137,陸上競技のなかでは中距離走が最も得意です,0
138,備え付けのキッチンが狭すぎて料理ができない,1
139,ずっと走っていて足を痛めてしまった場合は、無理をするのではなく休むことが大切です,0
140,大学では弓道を始めてみようかな,0
141,換気のために玄関のドアを開けておく,1
142,自分の家では声をかけるだけで照明を付けることができる,1
143,冬はランニングできないので、筋力トレーニングに専念しています,0
144,昨日は筋力トレーニングとランニングを頑張ったので、今日はひどい筋肉痛です,0
145,庭をあまり手入れしていないので、雑草がたくさん生えている,1
146,木造住宅を建てましょう,1
147,人生で一度はオーロラを見てみたい,2
148,遠泳では10キロを泳ぎ切るというのが一つの目標になります,0
149,毎朝自主的にサッカーの練習をしている,0
150,水族館の年間パスポートを買ったけど、それから1回しか行ってない,2
151,屋台でご当地名物を食べ歩きする,2
152,引っ越しのついでに家具を買い替える,1
153,痩せたいなら、プールの中を泳ぐのが良いと思います,0
154,英会話を頑張って練習したので、力試しに英語圏の国をいくつか旅した,2
155,本が増えすぎてまた新しい本棚を買わないといけない,1
156,数年に一度、煙突を掃除している,1
157,子どもの夏休みに自由研究のネタを探しに恐竜博物館へ行く,2
158,引っ越ししたばかりなのに、もう転勤ですか,1
159,犠牲フライから始まった5点差からの逆転劇,0
160,部屋を借りている間はなるべく汚さないようにしましょう,1
161,沖縄でたくさんの希少な固有種の生物を見れて満足です,2
162,出張の帰りに空港の売店で、人気のクッキーを家族のお土産用に買った,2
163,柔道とか剣道とかそういった伝統的な武道を一つマスターしてみたいです,0
164,焼肉店の近くには住みたくない,1
165,体育の授業だと、陸上が一番嫌いでした,0
166,トルコには何回か旅行したことがあって、お土産で買った絨毯は家にいくつか飾ってある,2
167,エメラルドグリーンの海に面した道をドライブする,2
168,来月は佐賀に出張にいくから、ついでにどこか観光しようと思っている,2
169,ニューヨークの観光ツアーを予約した,2
170,友達が風邪を引いてしまったので、一人で寂しく旅行した,2
171,好きなアニメの聖地巡礼を決行する,2
172,日本で初めて展示される動物を見に、たくさんの人が動物園に来園した,2
173,大きな板材を買ってきて世界に一つだけの机を作る,1
174,自分で庭に池を作った,1
175,ヴェルサイユ宮殿に行ったときに、庭がとても広くて驚いた,2
176,無理やり水泳教室に通わせられたときから、泳ぐのは嫌い,0
177,賃貸より持ち家のほうがQOLが上がる気がするんだよね,1
178,海外に別荘を建てたいな,1
179,雨漏りしてしまったので、屋根を点検する,1
180,格安な学生寮に住みたい,1
181,上司は毎朝ジムで筋力トレーニングしてから出社しているようだ,0
182,駅チカ南向き風呂トイレ別で家賃6万円台希望です,1
183,今はもうやめちゃいましたけど、小学校から高校まで野球をやっていました,0
184,運動不足を解消したくて最初は走っていたが、つらかったのでいまは歩いている,0
185,上手いサッカー選手は足元の技術は当然ながら、腕の使い方も上手いらしい,0
186,雨の日も雪の日も毎日10キロ走っています,0
187,地方から東京に就職活動しに行くときは、深夜バスをよく使った,2
188,数年後にはまた別のところへ引っ越すと思う,1
189,旅行時の注意点を先にリストアップしておく,2
190,バレーボールでも卓球でもテニスでも、まずは基礎のプレーができるようにならないと話になりません,0
191,猫ちゃんの方がよっぽどいい部屋住んでるし、きれいにされている,1
192,留学して世界遺産に登録されている街に住んでいる友達に会いに行く,2
193,防音を考えると鉄筋コンクリートがいいと思う,1
194,リモートワークになったので、使っていない部屋を仕事部屋にした,1
195,各地の寺社を巡って御朱印を集めている,2
196,子供のころ屋根で寝るのに憧れてやってみた結果、落ちて骨折したことがある,1
197,リフティングは特殊なことをしなければ何回でもできる自信があります,0
198,家の鍵を閉め忘れているような気がする,1
199,雪国に住んでいると、冬の雪かきが大変だなあ,1
200,親が転勤族だったので、子供のころは何度も引っ越しをしました,1
201,山登りが趣味です,0
202,複数の国を旅行したときは、移動にフェリーを使うのもいいかもしれません,2
203,筋力トレーニングは続けようと思っても三日坊主でやめてしまって続けられない,0
204,童心に帰って遊びませんか,0
205,今日泊まるホテルまでは予約していたシャトルバスで向かいます,2
206,彼は侯爵夫人にダンスを申し込んだが、断られてしまったようだ,0
207,家にある家具はほとんど自分で作ったものです,1
208,うーん、どうやったら逆上がりできるようになるんだろう,0
209,ナスカの地上絵を見るためにセスナを予約する,2
210,ダイビングのライセンスを取得する,0
211,大学生のときは、近くの動物園によく遊びにいった,2
212,山頂から30分くらいで下山できる,0
213,ツアーを予約するためには、パスポートのコピーが必要です,2
214,白い家具で統一している,1
215,趣味は温泉街を観光しに行くことだ,2
216,ほうきで玄関を簡単に掃除する,1
217,机の高さはもう少し低いほうがよかったかな,1
218,今日から念願の一人暮らしだ,1
219,大掃除では普段掃除しないところまできれいにします,1
220,強歩大会に参加する,0
221,通販でいろいろなところの名物を取り寄せて、旅行している気分になる,2
222,最近のスマートフォンには高性能なカメラが搭載されているので、写真を撮りたくて色々なところに観光に行きました,2
223,引っ越したばかりで、近くになにがあるのかまだよく分かっていない,1
224,社員寮はやめておけ,1
225,今のディフェンダーはゲームの組み立てに絡む必要が出てきており、昔とくらべて足元の技術が求められるようになりました,0
226,予約していた飛行機が大雪で欠航になってしまった,2
227,屋根に雪が積もったのでおろさないと,1
228,今日からルームシェアだ,1
229,娘が運動会のかけっこで一位をとった,0
230,長距離走は陸上競技の中で最も苦手だった,0
231,ポスターを貼っていたあとがひどく目立っていたので部屋の壁紙を張り替える,1
232,夫婦水入らずで暮らす,1
233,お金がなさ過ぎて公有地に無断で住み着いていたことがある,1
234,友達と遊園地で遊んだ,2
235,フォワード一つとっても、いろいろなプレースタイルのサッカー選手がいます,0
236,学生の頃は旧ソ連諸国を中心にいろいろな国に行きました,2
237,今月マレーシアに行こうと思っていたが、パスポートの期限が切れていたのでやめた,2
238,地震に備えて、本棚を固定しました,1
239,小学生の息子といっしょによく工場見学に行きます,2
240,北海道に流氷を見にいく,2
