id,store_id,area,temperature,season,weather,day,custom_num,cost,sales
75,273,3,20,2,0,5,636,110,152680
76,335,0,5,3,2,2,638,108,34236
77,388,4,,1,,3,794,108,305316
78,617,1,19,,2,0,720,108,92772
79,42,5,42,1,1,4,,110,216480
80,442,6,23,1,0,5,619,108,173988
81,,4,2,3,2,0,804,110,45100
82,888,1,3,3,2,3,732,120,44160
83,257,5,22,0,0,0,711,110,166210
84,321,4,29,1,1,3,794,108,256500
85,999,6,11,3,2,5,,108,39204
86,,6,8,3,0,2,672,120,62400
87,57,4,13,3,0,3,765,110,76670
88,291,1,11,3,0,3,583,120,61080
89,870,,31,1,0,6,649,108,253044
90,119,1,34,1,0,1,767,110,303160
91,779,0,22,2,0,2,802,108,177552
92,430,2,,3,0,1,769,120,69960
93,,5,,2,0,5,803,110,162690
94,91,5,26,1,1,1,733,110,191180
95,896,2,19,,2,1,589,108,72360
96,398,2,19,0,0,0,,108,100116
97,611,6,11,3,0,5,707,110,72380
98,565,5,21,0,0,4,732,108,166428
99,908,2,34,1,1,4,662,120,231000
100,,3,17,2,2,5,718,120,108240
101,938,6,14,3,0,0,726,120,80880
102,84,3,11,3,1,1,886,120,88560
103,203,1,7,3,0,1,707,108,57024
104,324,6,31,1,1,1,488,108,155304
105,774,4,28,1,1,6,637,110,208230
106,964,3,26,1,0,0,742,108,228528
107,47,3,21,0,0,3,721,110,169290
108,639,4,32,1,2,5,626,120,178080
109,,3,34,1,,6,621,120,179160
110,,4,,3,0,1,686,108,55728
111,868,3,14,3,1,2,748,108,66636
112,180,2,,3,0,0,,108,56376
113,,5,24,0,2,0,780,108,119448
114,143,6,24,2,2,3,802,120,136560
115,660,4,11,3,1,1,707,108,56484
116,227,6,-4,,1,0,702,108,49032
117,954,2,5,3,0,4,841,108,68040
118,791,1,-2,3,0,2,890,108,70416
119,719,4,12,3,1,2,661,120,64320
120,909,4,13,3,0,3,752,108,78192
121,373,0,24,2,1,2,726,108,139104
122,853,3,29,1,0,,667,120,280200
123,560,6,20,0,1,5,612,108,118692
124,305,4,20,2,2,2,545,120,93120
125,581,6,41,1,2,1,760,108,202176
126,169,0,23,0,1,,707,120,152640
127,675,5,21,0,0,0,585,120,150000
128,448,0,32,1,2,1,714,108,183168
129,95,0,20,0,1,0,637,108,123984
130,197,5,20,2,2,0,692,120,116520
131,606,2,16,0,0,6,689,110,133980
132,256,0,22,0,0,6,555,108,128952
133,881,4,15,0,0,3,635,110,125180
134,690,1,18,0,1,4,701,108,111564
135,292,3,10,3,2,3,843,120,66000
136,930,5,31,1,0,1,736,108,285444
137,816,2,17,2,0,5,835,108,164808
138,861,,19,2,0,6,834,108,158220
139,387,0,6,3,0,2,773,110,61820
140,610,0,17,2,1,5,774,108,125388
141,554,2,34,1,2,4,575,108,146880
142,973,5,25,1,0,6,660,120,231360
143,368,2,13,3,1,1,716,108,60696
144,999,5,15,,0,5,818,120,176640
145,,4,16,2,0,5,674,108,126252
146,201,4,14,3,0,6,785,110,84590
147,383,6,17,2,,4,590,108,114480
148,512,1,32,1,0,0,816,110,323950
149,906,4,13,3,0,3,671,108,68580
150,370,4,11,3,0,1,620,108,63180
151,555,5,8,3,0,1,703,120,65280
152,954,6,14,3,0,2,836,108,85536
153,383,2,43,1,1,3,560,108,182952
154,23,2,33,1,2,1,686,108,179064
155,699,3,27,1,1,,656,110,170170
156,130,2,,1,,0,626,108,238896
157,377,2,13,3,0,3,825,108,81648
158,98,4,,2,0,2,588,120,132000
159,574,5,32,1,,6,889,120,318360
160,931,6,19,0,1,0,766,120,140160
161,734,4,16,0,1,1,753,110,119900
162,123,,32,1,2,6,585,108,151956
163,963,2,6,3,2,,784,108,38556
164,594,3,30,1,1,6,664,120,242520
165,942,0,23,0,1,2,883,108,164376
166,739,2,13,3,0,1,591,120,65520
167,148,1,19,2,0,0,855,108,167292
168,209,3,24,,0,2,843,108,193536
169,562,6,15,2,0,4,865,120,186240
170,411,0,28,1,1,5,711,108,228744
171,782,5,12,3,1,4,524,110,45430
172,41,4,23,0,1,0,677,108,131760
173,58,2,6,3,2,5,666,120,42240
174,,1,14,3,0,0,623,110,65010
175,36,4,20,0,0,6,770,108,182088
176,778,2,14,3,1,3,557,108,46116
177,86,0,5,3,1,1,,,57480
178,43,2,31,1,2,6,712,108,184464
179,872,5,27,1,0,0,698,108,208656
180,11,2,13,3,0,1,883,110,92840
181,770,1,24,2,0,2,714,110,170060
182,307,3,9,3,1,5,692,110,47740
183,80,4,37,1,1,4,696,108,224748
184,32,5,12,3,0,4,535,120,59040
185,182,4,37,1,1,0,617,120,223440
186,128,2,30,1,1,0,691,110,230890
187,806,6,20,2,0,5,638,110,154330
188,275,1,0,3,0,0,764,108,64584
189,174,3,8,3,0,0,683,120,62040
190,,2,16,2,0,0,602,120,128040
191,371,4,16,2,1,5,732,110,122870
192,184,2,16,2,0,1,716,120,150840
193,444,6,0,3,0,6,821,120,74520
194,488,0,40,1,0,5,719,110,285560
195,589,5,21,2,1,0,652,108,126360
196,286,6,20,,0,,576,120,150120
197,280,6,6,3,2,0,,108,29160
198,637,6,25,1,1,2,759,108,193752
199,770,3,11,3,0,2,645,108,70740
200,,6,13,3,1,6,706,108,63072
201,94,2,19,2,0,1,783,108,153684
202,226,1,35,1,1,4,785,108,251856
203,875,5,35,1,1,5,793,110,262460
204,269,4,4,,0,4,567,108,47736
205,880,5,20,0,0,0,687,108,155952
206,296,0,,2,0,4,872,108,201204
207,328,1,29,1,0,6,672,120,286680
208,19,4,20,2,0,3,817,108,189000
209,607,0,18,2,1,5,929,108,149796
210,840,6,29,1,0,3,783,120,332640
211,,4,31,1,2,1,799,120,225480
212,450,3,31,1,2,5,670,108,171396
213,248,2,11,3,2,2,733,108,51840
214,180,4,14,3,2,0,803,108,52164
215,323,0,14,,2,4,739,120,56760
216,829,3,20,2,1,3,,110,126500
217,782,,25,1,1,3,640,120,185520
218,864,3,26,1,1,1,794,120,229680
219,260,1,23,1,1,5,842,110,196460
220,963,5,21,2,0,,702,108,165024
221,749,1,19,2,0,5,558,110,112310
222,139,2,25,1,0,6,515,108,156600
223,598,6,24,0,1,4,595,120,123720
224,461,1,29,1,1,5,768,108,242028
225,889,,36,1,0,1,464,108,180036
226,621,6,15,2,0,4,588,108,118476
227,,5,14,3,0,2,593,110,59950
228,696,1,23,0,0,4,3987,120,1024680
229,528,5,15,2,1,3,816,108,133056
230,152,,32,1,1,1,959,108,308232
231,925,1,2,3,0,4,654,110,52580
232,149,1,20,0,0,0,717,120,183600
233,110,2,20,2,0,5,708,108,163836
234,25,6,10,3,0,4,780,108,80352
235,464,,0,3,0,6,,108,63828
236,956,6,13,3,1,4,719,110,62700
237,889,4,15,0,0,,748,108,142884
238,886,1,27,1,0,1,,108,249588
239,117,4,26,1,0,1,711,108,216216
240,445,3,,0,2,1,713,110,94490
241,595,1,24,2,0,3,671,120,176640
242,673,3,8,3,0,6,,110,47410
243,872,4,13,3,0,2,691,108,67500
244,928,2,18,0,1,2,,110,108130
245,228,5,38,1,2,5,588,108,153792
246,507,5,5,3,,3,641,110,54670
247,763,6,24,2,0,1,731,108,169344
248,,0,25,1,0,4,634,108,194724
249,326,2,1,3,1,4,564,108,43848
250,469,2,20,,0,4,736,108,173016
251,287,5,25,1,1,3,431,110,109780
252,525,,16,0,2,6,655,120,91200
253,839,4,21,2,0,,583,108,136404
254,696,2,12,3,1,1,701,110,60940
255,152,,-3,3,0,,661,108,55836
256,591,5,-10,3,0,1,628,108,56160
257,41,4,15,2,2,0,765,108,95796
258,274,0,23,2,1,1,702,120,149880
259,552,4,16,2,0,4,652,108,127872
260,438,3,23,2,2,2,635,108,96336
261,207,6,27,1,,6,580,110,121330
262,779,4,31,1,1,2,772,108,253800
263,166,3,21,2,1,1,658,110,129360
264,111,2,39,1,0,4,834,108,321732
265,349,2,30,1,2,6,730,108,190080
266,129,3,27,1,1,,892,108,228852
267,735,2,4,3,0,0,788,108,66960
268,886,1,17,0,0,3,473,108,92880
269,812,0,12,3,0,6,682,110,72710
270,216,6,32,1,0,2,811,110,318450
271,381,5,14,3,0,1,785,120,90120
272,24,6,23,2,1,3,705,108,136944
273,67,4,17,2,2,,586,108,54000
274,978,0,21,2,0,0,668,108,149472
275,771,2,16,2,0,4,652,,126252
276,,0,20,0,0,2,710,108,166536
277,716,1,29,1,1,6,706,120,254640
278,,1,26,1,0,,644,120,217920
279,291,4,2,3,1,,671,110,49720
280,726,2,,3,2,3,776,108,39528
281,701,6,25,,0,6,804,,252340
282,709,2,15,0,2,6,698,108,92880
283,727,1,36,1,1,,675,108,218052
284,555,3,17,2,0,6,675,108,132192
285,32,0,9,3,0,6,728,108,59940
286,11,,23,2,0,2,763,110,179960
287,616,0,14,3,0,4,626,108,66636
288,212,4,12,3,1,1,737,110,63360
289,138,1,15,2,0,3,888,110,178310
290,694,5,28,1,0,0,773,108,298296
291,421,4,,0,0,4,674,120,174360
292,637,3,28,1,2,1,914,120,261840
293,,3,9,3,0,6,817,108,68148
294,,2,29,1,0,3,776,110,291170
295,488,4,,0,1,1,626,110,103950
296,770,1,13,3,2,2,574,120,46320
297,539,0,6,3,0,2,822,120,78120
298,979,0,31,1,2,3,589,110,154220
299,217,4,21,,0,0,724,108,172584
300,663,1,,2,0,1,693,120,181200
301,821,2,7,3,0,3,757,110,61490
302,307,3,20,0,1,6,708,110,139260
303,174,6,10,3,0,3,824,120,93360
304,148,3,24,0,1,5,693,,151440
305,,2,18,0,1,5,614,110,97680
306,541,5,-5,3,0,6,714,108,55080
307,579,1,3,3,2,3,686,110,40150
308,,6,19,2,0,2,844,108,162000
309,807,0,20,2,1,0,716,120,158520
310,393,0,15,2,1,1,588,108,92556
311,73,5,12,3,,0,555,108,38772
312,297,,19,2,2,3,725,120,103920
313,919,,9,3,0,3,711,108,62316
314,899,1,20,0,0,0,751,120,195240
315,814,1,30,1,0,3,537,108,208008
316,730,4,15,2,0,1,668,110,132990
317,946,6,13,3,0,2,850,,88344
318,876,4,22,2,0,2,645,120,165840
319,771,,40,1,1,6,744,120,265800
320,799,2,6,3,0,0,865,108,73548
321,777,2,34,1,1,1,680,120,242280
322,394,0,27,1,2,1,965,108,198828
323,539,1,32,1,2,,704,110,182270
324,429,4,33,1,2,3,581,120,167160
325,199,0,19,0,0,4,767,108,148392
326,423,5,25,1,1,5,694,108,176688
327,61,4,,2,0,,708,108,136080
328,341,1,1,3,0,1,692,110,57310
329,865,1,14,3,0,5,,110,67210
330,44,2,26,1,2,3,595,108,119772
331,802,5,28,1,1,3,712,108,231336
332,930,6,14,3,1,2,850,110,71280
333,88,6,7,3,0,4,738,,59508
334,33,1,27,1,1,3,839,108,217404
335,645,1,31,1,1,5,614,,203904
336,232,5,21,1,1,0,680,,171600
337,,5,22,0,,4,667,108,151848
338,36,5,19,0,0,5,677,110,133870
339,768,0,12,3,1,2,547,110,48730
340,459,1,17,2,,4,680,108,131652
341,290,6,23,2,1,1,617,108,118584
342,197,3,9,3,0,3,825,108,66204
343,894,0,34,1,1,6,773,108,241812
344,949,5,18,0,0,1,766,108,153900
345,254,5,-5,3,0,0,787,120,74280
346,80,2,28,1,1,4,761,110,250030
347,446,6,7,,1,5,755,108,51192
348,136,0,10,3,1,4,4089,110,359480
349,189,,13,3,,3,622,108,41472
350,129,1,17,0,1,5,629,120,111600
351,209,0,20,2,0,0,485,110,114730
352,368,4,4,3,0,6,704,120,67920
353,291,3,19,0,0,,736,108,143208
354,,5,20,0,0,6,589,120,153360
355,347,4,3,3,0,4,726,120,63120
356,168,2,13,3,0,4,654,120,78360
357,884,5,31,1,0,,820,120,351120
358,804,3,21,0,0,,855,120,223680
359,176,1,34,,1,0,731,120,260400
360,,3,26,1,0,3,,108,181548
361,323,1,27,1,0,,786,110,252780
362,871,0,0,3,0,3,729,108,63072
363,508,1,,1,2,0,804,120,232800
364,803,2,16,2,0,1,520,108,96768
365,114,4,18,2,1,4,517,,85030
366,798,3,20,2,0,5,690,108,157788
367,29,6,20,,0,6,737,110,172480
368,753,4,28,1,0,,728,120,314760
369,289,6,20,0,0,3,755,110,178530
370,146,5,39,1,,5,752,108,193104
371,273,5,22,0,0,2,776,108,180468
372,221,4,20,2,0,6,723,108,166536
373,340,5,38,1,,4,808,110,261470
374,509,4,14,3,1,6,696,120,68160
375,514,5,8,,0,2,539,120,51960
376,69,4,43,,1,4,728,110,240570
377,357,0,16,2,0,4,650,,140640
378,908,2,19,2,1,6,,108,130680
379,556,5,37,1,1,3,735,108,235332
380,885,2,,2,2,,686,108,87804
381,765,1,9,3,0,1,456,110,38940
382,322,1,4,3,0,2,755,110,63800
383,623,1,18,2,2,0,840,,109512
384,91,2,33,1,0,0,618,108,238356
385,341,2,18,0,1,6,654,110,110110
386,423,2,8,3,2,6,756,108,38340
387,551,1,12,3,0,,694,108,72036
388,971,0,17,2,2,6,699,110,89760
389,662,5,23,2,1,6,703,108,137592
390,,5,18,0,1,0,561,108,87264
391,657,4,10,3,0,5,585,108,61560
392,710,5,21,0,,1,723,120,189720
393,967,2,13,,1,5,905,110,78540
394,274,6,14,,0,4,761,120,89520
395,860,2,21,0,0,3,502,,118152
396,43,3,19,0,1,0,799,108,128952
397,83,2,14,,0,3,,110,89210
398,433,4,7,3,1,4,826,120,64800
399,809,6,7,3,1,6,493,,31790
400,93,5,17,2,1,2,638,110,104500
401,174,1,19,2,0,4,735,108,143316
402,405,6,23,0,0,4,672,108,153900
403,201,3,,3,1,1,600,108,47304
404,857,4,20,2,1,4,514,120,114120
405,498,5,10,3,0,0,791,120,84720
406,480,0,11,3,0,4,663,108,70092
407,987,4,27,1,1,,,120,202080
408,329,2,24,0,1,6,793,108,155520
409,540,6,16,0,2,4,702,,92070
410,209,1,29,1,0,0,751,108,291924
411,617,4,31,,1,4,551,110,184030
412,954,3,8,3,0,5,768,108,65772
413,896,4,26,1,1,3,501,108,129600
414,982,3,33,1,0,3,815,120,345360
415,,3,17,0,1,1,710,110,116270
416,16,6,12,3,,3,782,108,65772
417,106,4,10,,0,0,780,120,92040
418,164,3,29,1,0,1,589,110,234410
419,606,1,25,1,1,6,629,120,180240
420,536,2,29,1,0,6,,120,294240
421,628,0,10,3,2,0,633,110,44330
422,191,4,15,0,0,6,492,120,109200
423,195,3,15,0,0,5,727,108,141372
424,307,,25,1,1,0,632,108,163188
425,,3,20,0,0,2,687,108,158220
426,952,2,11,3,0,6,844,,91080
427,859,6,20,2,0,5,723,108,167508
428,93,4,18,0,0,1,634,108,125604
429,891,3,22,,0,0,767,108,174420
430,750,6,10,3,0,1,623,110,65780
431,87,5,33,1,1,3,849,108,270108
432,160,0,13,3,,6,602,120,69240
433,147,0,17,2,0,2,858,110,166540
434,584,6,39,1,1,4,725,108,235980
435,455,4,11,3,,1,684,108,49248
436,87,5,20,2,1,1,465,110,91300
437,13,,33,1,1,3,701,120,249480
438,314,3,33,1,1,6,777,108,249804
439,593,4,25,1,1,1,558,120,163560
440,120,2,9,3,0,5,545,110,45980
441,884,6,,3,1,4,673,120,51240
442,951,5,33,1,2,3,860,108,222804
443,832,4,10,3,0,5,776,108,80136
444,715,0,5,3,0,1,794,120,74280
445,732,1,40,1,1,1,791,108,258012
446,932,3,0,3,,1,621,110,50160
447,281,5,,2,0,4,763,110,151030
448,800,1,3,3,0,2,585,108,47628
449,426,0,24,2,0,1,692,108,161244
450,782,1,20,2,1,0,774,108,148824
451,470,,29,1,1,,735,110,241450
452,,2,19,2,0,5,537,108,105948
453,276,1,20,2,0,4,776,120,199440
454,978,4,14,3,0,5,658,108,65880
455,324,0,18,,1,6,897,110,150700
456,534,3,27,1,2,0,495,110,105600
457,227,0,-3,3,0,4,732,120,69840
458,890,5,11,3,,0,645,108,67608
459,595,4,13,3,1,5,454,110,41250
460,647,0,34,1,0,6,607,108,228636
461,968,1,12,3,0,3,679,108,68580
462,573,1,20,2,1,6,647,108,122472
463,653,,22,0,2,1,847,108,128736
464,517,6,38,1,1,4,799,,257688
465,256,4,7,3,0,5,657,110,53240
466,136,4,5,3,1,,683,110,48620
467,207,3,14,3,0,1,,108,61992
468,463,3,40,1,1,1,880,120,317880
469,949,3,24,0,0,3,778,110,186560
470,139,5,20,0,1,0,781,120,166920
471,4,4,,2,,4,512,110,119240
472,423,2,11,3,0,2,705,108,65448
473,,3,9,3,0,1,647,110,54780
474,941,1,26,1,0,4,730,108,227664
475,282,6,34,1,,5,666,110,213510
476,586,3,24,0,1,2,727,,156120
477,820,3,19,2,0,6,713,108,134892
478,433,4,9,3,1,6,690,120,50160
479,219,6,15,0,1,1,,108,87372
480,819,0,36,1,2,0,579,108,149580
481,739,0,-9,,0,2,,120,41640
482,873,6,36,1,1,3,697,110,232650
483,786,1,18,0,0,2,659,108,128844
484,373,5,16,0,2,5,702,120,101760
485,290,3,21,2,0,2,675,108,157680
486,563,1,17,2,0,4,877,,168190
487,670,5,-5,3,2,1,774,108,44604
488,437,1,13,3,0,6,730,108,79380
489,826,6,27,1,1,5,669,108,173340
490,939,3,32,1,0,1,765,120,330240
491,,1,9,3,0,4,766,,62856
492,508,,17,0,0,5,790,110,158510
493,786,6,6,3,0,5,821,108,67392
494,941,2,19,2,0,0,823,108,153900
495,855,1,29,1,1,5,801,110,262020
496,449,0,17,0,1,0,717,110,118250
497,326,5,15,2,0,4,690,,155280
498,490,5,3,3,1,0,597,110,43890
499,53,6,,0,1,5,556,108,108756
500,,2,13,2,0,5,,110,96690
501,94,4,17,2,,6,685,110,136510
502,59,3,10,3,0,1,723,110,76340
503,336,4,7,3,2,5,803,110,45320
504,666,3,18,2,0,5,610,,131880
505,636,2,13,,0,1,818,108,82188
506,163,4,31,1,1,6,814,108,265464
507,570,0,4,3,0,3,611,110,49720
508,945,1,12,3,0,3,692,108,70848
509,106,6,13,3,2,4,861,108,61776
510,201,3,3,3,0,2,725,120,63600
511,300,4,24,0,0,5,634,108,146556
512,781,3,-5,3,0,3,3949,108,323784
513,889,,13,3,0,2,,,73332
514,838,1,23,0,0,6,934,108,211248
515,550,2,30,1,2,0,507,110,133100
516,679,2,5,3,1,5,640,110,40480
517,648,6,17,0,1,0,1080,108,177660
518,13,,16,0,0,0,701,108,133704
519,903,0,32,1,1,1,747,108,239760
520,720,2,34,1,1,1,,120,222000
521,534,3,10,3,0,4,685,120,82920
522,504,5,11,3,0,4,697,110,71500
523,847,3,13,3,0,5,590,110,60720
524,985,3,-5,3,0,0,801,108,68040
525,776,,22,0,1,3,777,108,152388
526,739,1,25,1,1,4,826,110,217800
527,774,2,31,1,2,1,733,110,193050
528,209,4,12,3,0,1,835,108,88992
529,455,2,40,1,,0,684,110,268180
530,468,6,6,3,0,4,603,120,53160
531,473,0,,3,1,3,679,120,52560
532,962,5,31,1,1,5,882,110,291280
533,572,3,10,3,,6,771,120,90240
534,400,5,20,2,0,0,570,,132300
535,56,5,21,0,0,4,848,108,195480
536,882,6,21,0,1,0,828,120,182160
537,749,2,23,0,0,6,636,110,149930
538,663,3,13,3,0,3,,108,51516
539,280,5,18,2,,5,,108,125280
540,4,6,-8,3,0,4,788,108,62424
541,612,3,24,1,1,0,791,108,182196
542,305,1,-7,3,0,6,698,108,54432
543,343,1,22,,0,2,4006,120,1023480
544,542,3,22,,1,5,626,110,124960
545,566,2,34,1,0,4,811,108,317196
546,153,5,35,1,1,4,,110,216260
547,788,4,28,1,1,3,549,108,177228
548,353,1,29,1,1,3,651,,211032
549,357,4,23,1,1,3,644,110,157190
550,697,4,14,0,1,,780,110,82060
551,407,3,9,3,0,2,572,108,42660
552,411,,13,3,0,4,744,108,75492
553,29,3,36,1,1,5,755,120,279240
554,929,1,22,0,0,0,713,120,184920
555,371,6,16,2,,6,752,120,106200
556,821,0,16,0,1,2,708,120,122880
557,631,2,,2,0,4,803,108,184572
558,947,5,17,2,0,1,603,110,119790
559,854,0,26,1,0,3,691,108,212004
560,502,5,5,3,0,1,643,108,54864
561,7,,11,,0,0,695,110,73150
562,617,2,0,3,0,2,645,110,52030
563,137,2,24,2,1,0,490,,93744
564,694,1,26,1,,0,676,120,232920
565,896,1,27,1,0,,592,120,203520
566,851,,17,2,0,3,586,110,113520
567,376,0,31,1,1,4,727,108,235548
568,932,4,11,3,0,2,773,108,78732
569,721,5,14,0,,3,552,120,57120
570,148,2,31,1,0,1,708,120,306360
571,885,,-6,3,2,0,744,108,38556
572,259,5,35,1,1,6,746,108,246456
573,126,0,,1,1,0,648,110,211860
574,810,4,27,1,1,0,788,110,203500
575,577,1,21,2,0,6,740,108,171288
576,532,0,28,1,1,4,745,108,242028
577,804,1,3,3,1,2,674,,45870
578,324,4,23,2,0,4,,,918756
579,976,3,33,1,0,5,736,108,278964
580,112,0,28,1,0,,605,110,236610
581,943,5,15,0,1,2,751,,120852
582,,6,21,2,2,4,,120,138360
583,237,3,14,,0,6,703,110,93720
584,360,2,13,3,2,3,872,,57888
585,990,3,8,3,0,,644,108,51948
586,859,6,27,1,1,5,677,120,194160
587,555,1,10,3,,5,717,108,71172
588,63,1,7,3,1,1,613,108,45036
589,927,,29,1,1,0,604,110,196350
590,916,4,10,3,0,5,631,110,66770
591,454,2,10,3,1,6,889,108,74736
592,265,1,21,0,1,5,647,110,124740
593,444,0,6,3,0,1,727,120,68160
594,603,6,30,1,1,3,696,110,225830
595,623,5,19,0,1,2,724,120,130440
596,419,5,37,1,1,4,711,108,227232
597,339,2,17,2,0,5,742,110,147400
598,844,3,16,0,2,1,752,110,99440
599,274,0,2,3,0,0,637,108,55404
600,369,2,24,1,1,4,758,120,198000
601,842,3,32,1,1,4,624,110,208780
602,226,0,14,3,2,0,748,110,50490
603,225,4,30,1,1,6,591,108,193644
604,939,1,21,0,1,2,682,120,144720
605,643,3,,3,2,5,591,110,39820
606,908,1,24,2,0,6,649,120,167880
607,228,3,22,2,0,6,631,108,147744
608,826,1,12,3,0,2,733,,79704
609,897,5,37,,1,0,693,110,230450
610,369,6,22,,2,2,700,,108540
611,128,3,22,2,0,3,739,110,172920
612,807,1,,0,0,,798,108,182844
613,24,5,26,1,2,6,677,120,156120
614,698,4,27,1,1,2,466,108,119124
615,292,1,17,0,0,6,562,108,110268
616,,,31,1,0,0,770,108,297432
617,837,6,,2,2,2,682,120,94200
618,134,3,26,1,1,4,863,120,244320
619,3,5,27,1,1,3,564,120,168240
620,226,5,35,1,2,2,695,110,182710
621,889,6,7,3,2,6,864,110,50820
622,680,1,13,0,2,6,547,110,47080
623,444,1,,1,1,3,,120,177360
624,417,,22,2,0,5,627,,151250
625,284,6,,3,0,5,717,108,72144
626,836,3,17,0,0,5,680,110,134750
627,,5,12,3,0,5,,110,69520
628,736,1,4,3,,,540,120,47040
629,248,6,37,1,1,3,807,110,266970
630,365,3,8,3,0,2,697,108,58752
631,947,2,16,0,1,1,692,108,115020
632,201,3,16,2,0,,750,108,144612
633,437,3,24,0,0,,723,108,167724
634,197,6,3,3,0,0,490,108,38016
635,929,3,15,,0,1,833,108,161676
636,647,0,24,0,0,6,702,108,163728
637,637,1,19,2,0,1,801,110,155100
638,606,6,17,0,0,0,,108,102708
639,72,0,21,2,0,4,623,110,145200
640,246,1,30,1,2,4,709,110,182270
641,852,,16,,1,3,,108,126792
642,135,2,9,3,2,0,726,110,41910
643,707,0,15,0,1,5,602,108,97308
644,213,6,14,3,0,1,767,108,81432
645,475,0,15,2,0,4,585,110,115390
646,,4,16,2,0,1,772,110,149600
647,323,,1,3,1,3,704,108,47196
648,102,5,,3,0,0,,108,51516
649,852,1,23,2,1,2,711,110,138600
650,327,1,17,2,0,5,884,120,187800
651,595,,2,3,0,5,647,110,53350
652,223,1,29,1,1,6,640,108,206820
653,256,0,5,3,0,3,694,110,57750
654,645,5,28,1,2,2,664,108,169884
655,347,6,23,2,1,5,746,120,161160
656,107,6,8,3,2,1,619,110,31900
657,926,4,7,3,0,3,587,108,47196
658,969,4,18,0,1,1,770,110,128370
659,979,1,38,1,1,4,723,110,236500
660,519,1,28,1,1,3,677,108,215028
661,149,4,9,3,0,0,597,110,50160
662,997,5,28,1,1,,760,108,244728
663,476,0,0,3,1,4,805,108,55728
664,392,1,22,0,2,4,740,108,112104
665,683,1,19,2,0,5,753,108,148068
666,558,4,,,1,,700,108,183600
667,0,6,31,1,1,5,867,108,420768
668,360,2,44,1,1,1,745,,272280
669,,5,-8,3,1,4,722,108,43632
670,550,0,,3,1,1,535,108,35424
671,89,1,30,1,,4,515,,296676
672,74,5,29,1,0,3,731,108,284148
673,499,6,28,1,0,3,653,110,256740
674,738,6,-5,3,0,3,747,110,60170
675,635,1,35,1,1,5,523,108,162756
676,343,2,17,0,0,6,700,108,136188
677,96,1,40,1,2,5,690,108,179604
